% Model,mush.mph
% Version,COMSOL 5.5.0.292
% Date,"Oct 14 2022, 07:24"
% Dimension,2
% Nodes,5022
% Expressions,1
% Description,Line
% r,z,Color
0,-0.01,3.8219668939208516E-17
0,-0.009336838130194194,3.8296367432227427E-17
0,-0.008673676260388388,3.858989930996861E-17
0,-0.008010514390582582,3.9100264572432045E-17
0,-0.007347352520776775,3.982746321961774E-17
0,-0.0066841906509709685,4.07714952515257E-17
0,-0.006021028781165162,4.193236066815593E-17
0,-0.005357866911359355,4.331005946950841E-17
0,-0.004694705041553549,4.490459165558317E-17
0,-0.004031543171747743,4.671595722638018E-17
0,-0.003366126398522672,4.878039532541168E-17
0,-0.0027007096252976014,5.118925590388702E-17
0,-0.0020352928520725308,5.394253896180619E-17
0,-0.0013698760788474597,5.70402444991692E-17
0,-7.044593056223885E-4,6.048237251597608E-17
0,-3.9042532397318055E-5,6.426892301222677E-17
0,6.26374240827753E-4,6.83998959879213E-17
0,0.0012917910140528236,7.287529144305967E-17
0,0.0019572077872778947,7.769510937764189E-17
0,0.0026538994287270603,8.32327080302406E-17
0,0.003350591070176226,8.950859306010582E-17
0,0.0040472827116253916,9.652276446723747E-17
0,0.004743974353074558,1.0427522225163559E-16
0,0.005440665994523724,1.127659664133002E-16
0,0.006137357635972889,1.2199499695223123E-16
0,0.006834049277422055,1.3196231386842876E-16
0,0.007530740918871221,1.4266791716189275E-16
0,0.008227432560320387,1.541118068326232E-16
0,0.009015008459866587,1.6807282029673762E-16
0,0.00980258435941279,1.8412344933082023E-16
0,0.010590160258958991,2.0226369393487111E-16
0,0.011377736158505193,2.2249355410889014E-16
0,0.012165312058051396,2.4481302985287747E-16
0,0.012952887957597596,2.69222121166833E-16
0,0.013740463857143798,2.957208280507567E-16
0,0.014528039756689998,3.2430915050464866E-16
0,0.015315615656236202,3.5498708852850887E-16
0,0.01623715171442372,3.9274125622744806E-16
0,0.017158687772611238,4.377517091951482E-16
0,0.018080223830798756,4.900184474316094E-16
0,0.019001759888986277,5.495414709368316E-16
0,0.019923295947173795,6.163207797108147E-16
0,0.020844832005361313,6.903563737535588E-16
0,0.021766368063548834,7.71648253065064E-16
0,0.022687904121736352,8.601964176453301E-16
0,0.02360944017992387,9.560008674943573E-16
0,0.024725719147897778,1.0772836212530057E-15
0,0.025841998115871685,1.2311535000630661E-15
0,0.026958277083845593,1.417610503924538E-15
0,0.028074556051819497,1.6366546328374207E-15
0,0.029190835019793405,1.8882858868017154E-15
0,0.03030711398776731,2.1725042658174213E-15
0,0.03142339295574122,2.489309769884539E-15
0,0.032539671923715124,2.8387023990030677E-15
0,0.03365595089168903,3.2206821531730085E-15
0,0.03493393865561804,3.663775357576065E-15
0,0.03621192641954705,4.263681102029887E-15
0,0.03748991418347606,5.020399386534471E-15
0,0.038767901947405065,5.93393021108982E-15
0,0.040045889711334076,7.004273575695934E-15
0,0.04132387747526309,8.23142948035281E-15
0,0.0426018652391921,9.615397925060452E-15
0,0.043879853003121104,1.1156178909818857E-14
0,0.045157840767050116,1.2853772434628027E-14
0,0.04630636955090159,1.451724537693494E-14
0,0.04745489833475307,1.6646103795288526E-14
0,0.04860342711860455,1.9240347689688792E-14
0,0.04975195590245602,2.2299977060135733E-14
0,0.05090048468630749,2.5824991906629352E-14
0,0.05204901347015897,2.981539222916964E-14
0,0.053197542254010445,3.427117802775661E-14
0,0.054346071037861925,3.919234930239025E-14
0,0.0554945998217134,4.457890605307058E-14
0,0.05643981889227688,4.9537491877147485E-14
0,0.05738503796284036,5.5452930399202615E-14
0,0.058330257033403846,6.232522161923598E-14
0,0.05927547610396733,7.015436553724753E-14
0,0.06022069517453081,7.894036215323734E-14
0,0.061165914245094294,8.868321146720535E-14
0,0.06211113331565778,9.938291347915158E-14
0,0.06305635238622126,1.1103946818907603E-13
0,0.06400157145678474,1.236528755969787E-13
0,0.06479183464811188,1.3540743193790774E-13
0,0.06558209783943901,1.488137617935534E-13
0,0.06637236103076616,1.6387186516391563E-13
0,0.06716262422209329,1.8058174204899442E-13
0,0.06795288741342043,1.9894339244878986E-13
0,0.06874315060474756,2.1895681636330185E-13
0,0.0695334137960747,2.406220137925305E-13
0,0.07032367698740183,2.6393898473647566E-13
0,0.07111394017872896,2.889077291951375E-13
0,0.0718326401744557,3.1395145650663776E-13
0,0.07255134017018244,3.421008476712303E-13
0,0.07327004016590918,3.7335590268891516E-13
0,0.07398874016163592,4.077166215596922E-13
0,0.07470744015736266,4.4518300428356156E-13
0,0.0754261401530894,4.857550508605232E-13
