% Model,mush.mph
% Version,COMSOL 5.5.0.292
% Date,"Oct 14 2022, 07:25"
% Dimension,2
% Nodes,5022
% Expressions,1
% Description,Line
% r,z,Color
0,-0.01,3.4604658477666277E-18
0,-0.009336838130194194,3.467410243755229E-18
0,-0.008673676260388388,3.493987057902149E-18
0,-0.008010514390582582,3.540196290207387E-18
0,-0.007347352520776775,3.606037940670944E-18
0,-0.0066841906509709685,3.691512009292818E-18
0,-0.006021028781165162,3.796618496073011E-18
0,-0.005357866911359355,3.9213574010115224E-18
0,-0.004694705041553549,4.065728724108352E-18
0,-0.004031543171747743,4.2297324653635E-18
0,-0.003366126398522672,4.41664977089772E-18
0,-0.0027007096252976014,4.6347516015834846E-18
0,-0.0020352928520725308,4.884037957420797E-18
0,-0.0013698760788474597,5.164508838409654E-18
0,-7.044593056223885E-4,5.4761642445500584E-18
0,-3.9042532397318055E-5,5.819004175842008E-18
0,6.26374240827753E-4,6.1930286322855035E-18
0,0.0012917910140528236,6.598237613880545E-18
0,0.0019572077872778947,7.034631120627134E-18
0,0.0026538994287270603,7.536013564479176E-18
0,0.003350591070176226,8.10424155841868E-18
0,0.0040472827116253916,8.739315102445638E-18
0,0.004743974353074558,9.441234196560058E-18
0,0.005440665994523724,1.0209998840761936E-17
0,0.006137357635972889,1.1045609035051273E-17
0,0.006834049277422055,1.194806477942807E-17
0,0.007530740918871221,1.2917366073892324E-17
0,0.008227432560320387,1.3953512918444038E-17
0,0.009015008459866587,1.5217563906683142E-17
0,0.00980258435941279,1.667081180623872E-17
0,0.010590160258958991,1.8313256617110777E-17
0,0.011377736158505193,2.0144898339299305E-17
0,0.012165312058051396,2.2165736972804308E-17
0,0.012952887957597596,2.437577251762578E-17
0,0.013740463857143798,2.677500497376373E-17
0,0.014528039756689998,2.9363434341218155E-17
0,0.015315615656236202,3.2141060619989054E-17
0,0.01623715171442372,3.555937929095499E-17
0,0.017158687772611238,3.96346928562027E-17
0,0.018080223830798756,4.436700131573217E-17
0,0.019001759888986277,4.9756304669543406E-17
0,0.019923295947173795,5.580260291763642E-17
0,0.020844832005361313,6.25058960600112E-17
0,0.021766368063548834,6.986618409666775E-17
0,0.022687904121736352,7.788346702760605E-17
0,0.02360944017992387,8.655774485282614E-17
0,0.024725719147897778,9.753886632649595E-17
0,0.025841998115871685,1.1147047472083152E-16
0,0.026958277083845593,1.2835257003583283E-16
0,0.028074556051819497,1.481851522714999E-16
0,0.029190835019793405,1.709682214278327E-16
0,0.03030711398776731,1.9670177750483123E-16
0,0.03142339295574122,2.2538582050249554E-16
0,0.032539671923715124,2.5702035042082556E-16
0,0.03365595089168903,2.9160536725982135E-16
0,0.03493393865561804,3.317236870614164E-16
0,0.03621192641954705,3.8604004819639733E-16
0,0.03748991418347606,4.545544506647641E-16
0,0.038767901947405065,5.372668944665167E-16
0,0.040045889711334076,6.341773796016551E-16
0,0.04132387747526309,7.452859060701793E-16
0,0.0426018652391921,8.705924738720894E-16
0,0.043879853003121104,1.0100970830073854E-15
0,0.045157840767050116,1.1637997334760672E-15
0,0.04630636955090159,1.3144130554986345E-15
0,0.04745489833475307,1.5071630728564674E-15
0,0.04860342711860455,1.7420497855495657E-15
0,0.04975195590245602,2.0190731935779296E-15
0,0.05090048468630749,2.3382332969415594E-15
0,0.05204901347015897,2.699530095640454E-15
0,0.053197542254010445,3.1029635896746146E-15
0,0.054346071037861925,3.548533779044041E-15
0,0.0554945998217134,4.036240663748733E-15
0,0.05643981889227688,4.48519842224556E-15
0,0.05738503796284036,5.020791051598115E-15
0,0.058330257033403846,5.643018551806398E-15
0,0.05927547610396733,6.351880922870408E-15
0,0.06022069517453081,7.147378164790147E-15
0,0.061165914245094294,8.02951027756561E-15
0,0.06211113331565778,8.998277261196802E-15
0,0.06305635238622126,1.0053679115683721E-14
0,0.06400157145678474,1.119571584102637E-14
0,0.06479183464811188,1.225999090939843E-14
0,0.06558209783943901,1.3473820016164019E-14
0,0.06637236103076616,1.483720316132313E-14
0,0.06716262422209329,1.6350140344875764E-14
0,0.06795288741342043,1.8012631566821927E-14
0,0.06874315060474756,1.9824676827161612E-14
0,0.0695334137960747,2.1786276125894826E-14
0,0.07032367698740183,2.389742946302156E-14
0,0.07111394017872896,2.6158136838541825E-14
0,0.0718326401744557,2.8425633273429094E-14
0,0.07255134017018244,3.09743211470848E-14
0,0.07327004016590918,3.380420045950893E-14
0,0.07398874016163592,3.691527121070149E-14
0,0.07470744015736266,4.0307533400662476E-14
0,0.0754261401530894,4.39809870293919E-14
0,0.07614484014881615,4.793563209688975E-14
0,0.07686354014454289,5.217146860315603E-14
0,0.07758224014026963,5.668849654819075E-14
0,0.07825433324636116,6.130751947875307E-14
0,0.0789264263524527,6.643998779086148E-14
0,0.07959851945854424,7.208590148451599E-14
0,0.08027061256463577,7.824526055971659E-14
0,0.08094270567072731,8.49180650164633E-14
0,0.08161479877681885,9.210431485475607E-14
0,0.08228689188291038,9.980401007459496E-14
0,0.08295898498900192,1.0801715067597996E-13
0,0.08363107809509346,1.1674373665891103E-13
0,0.08430996011139735,1.2625702486264176E-13
0,0.08498884212770125,1.3688336386404256E-13
0,0.08566772414400514,1.486227536631135E-13
0,0.08634660616030904,1.614751942598545E-13
0,0.08702548817661293,1.7544068565426561E-13
0,0.08770437019291683,1.905192278463468E-13
0,0.08838325220922072,2.067108208360981E-13
0,0.08906213422552461,2.240154646235195E-13
0,0.08974101624182851,2.42433159208611E-13
0,0.09044469927694604,2.6277356727206234E-13
0,0.09114838231206357,2.856597740764401E-13
0,0.09185206534718111,3.110917796217443E-13
0,0.09255574838229864,3.3906958390797465E-13
0,0.09325943141741617,3.6959318693513153E-13
0,0.0939631144525337,4.026625887032147E-13
0,0.09466679748765125,4.382777892122242E-13
0,0.09537048052276878,4.764387884621601E-13
0,0.09607416355788631,5.171455864530223E-13
0,0.09689988235244096,5.679316507674409E-13
0,0.09772560114699562,6.26573841453997E-13
0,0.09855131994155027,6.930721585126907E-13
0,0.09937703873610493,7.674266019435218E-13
0,0.10020275753065958,8.496371717464907E-13
0,0.10102847632521422,9.39703867921597E-13
0,0.10185419511976887,1.0376266904688409E-12
0,0.10267991391432353,1.1434056393882225E-12
0,0.10350563270887818,1.2570407146797415E-12
0,0.10451197410262873,1.4076720094151498E-12
0,0.10551831549637929,1.5901010613384604E-12
0,0.10652465689012984,1.804327870449674E-12
0,0.10753099828388038,2.0503524367487898E-12
0,0.10853733967763093,2.3281747602358084E-12
0,0.10954368107138149,2.6377948409107296E-12
0,0.11055002246513204,2.9792126787735532E-12
0,0.1115563638588826,3.3524282738242794E-12
0,0.11256270525263315,3.7574416260629084E-12
0,0.11376771194994573,4.266094392366109E-12
0,0.11497271864725829,4.9294952631454214E-12
0,0.11617772534457088,5.747644238400844E-12
0,0.11738273204188343,6.720541318132377E-12
0,0.11858773873919602,7.848186502340022E-12
0,0.11979274543650859,9.130579791023776E-12
0,0.12099775213382116,1.0567721184183643E-11
0,0.12220275883113373,1.2159610681819618E-11
0,0.1234077655284463,1.3906248283931707E-11
0,0.12456963012952227,1.5698568404223383E-11
0,0.12573149473059825,1.8012684144687802E-11
0,0.12689335933167423,2.0848595505324973E-11
0,0.12805522393275018,2.4206302486134887E-11
0,0.12921708853382613,2.8085805087117546E-11
0,0.1303789531349021,3.248710330827295E-11
0,0.13154081773597806,3.741019714960111E-11
0,0.13270268233705404,4.2855086611102006E-11
0,0.13386454693813,4.8821771692775654E-11
0,0.13485368255284955,5.447752747904187E-11
0,0.1358428181675691,6.132062412680182E-11
0,0.13683195378228868,6.935106163605553E-11
0,0.1378210893970082,7.856884000680296E-11
0,0.1388102250117278,8.897395923904415E-11
0,0.13979936062644735,1.0056641933277908E-10
0,0.1407884962411669,1.1334622028800775E-10
0,0.14177763185588646,1.2731336210473015E-10
0,0.14276676747060602,1.4246784478294632E-10
0,0.14358937578796904,1.563607463326995E-10
0,0.14441198410533207,1.723934402249715E-10
0,0.14523459242269512,1.9056592645976237E-10
0,0.14605720074005815,2.1087820503707208E-10
0,0.14687980905742118,2.333302759569006E-10
0,0.14770241737478423,2.57922139219248E-10
