-0.8985,0.6057
-0.897415003,0.6057
-0.896330005,0.6057
-0.895245008,0.6057
-0.89416001,0.6057
-0.893075013,0.6057
-0.89204752,0.6057
-0.891020026,0.6057
-0.889992533,0.6057
-0.88896504,0.6057
-0.887937546,0.6057
-0.886964509,0.6057
-0.885991472,0.6057
-0.885018435,0.6057
-0.884045398,0.6057
-0.883072361,0.6057
-0.882150895,0.6057
-0.881229428,0.6057
-0.880307961,0.6057
-0.879386495,0.6057
-0.878465028,0.6057
-0.877592398,0.6057
-0.876719769,0.6057
-0.875847139,0.6057
-0.874974509,0.6057
-0.87410188,0.6057
-0.873275499,0.6057
-0.872449118,0.6057
-0.871622737,0.6057
-0.870796356,0.6057
-0.869969975,0.6057
-0.869160452,0.6057
-0.868350929,0.6057
-0.867541406,0.6057
-0.866731883,0.6057
-0.86592236,0.6057
-0.865080443,0.6057
-0.864238526,0.6057
-0.863396608,0.6057
-0.860605754691,0.6057
-0.861712774,0.6057
-0.860836193,0.6057
-0.859959612,0.6057
-0.859083031,0.6057
-0.858206451,0.6057
-0.85732987,0.6057
-0.856417198,0.6057
-0.855504527,0.6057
-0.854591855,0.6057
-0.853679184,0.6057
-0.852766512,0.6057
-0.851816264,0.6057
-0.850866016,0.6057
-0.849915768,0.6057
-0.84896552,0.6057
-0.848015272,0.6057
-0.8470259,0.6057
-0.846036528,0.6057
-0.845047156,0.6057
-0.844057785,0.6057
-0.843068413,0.6057
-0.842038306,0.6057
-0.8410082,0.6057
-0.839978094,0.6057
-0.838947987,0.6057
-0.837917881,0.6057
-0.836845363,0.6057
-0.835772845,0.6057
-0.834700327,0.6057
-0.833627809,0.6057
-0.830605755291,0.6057
-0.831444834,0.6057
-0.830334377,0.6057
-0.82922392,0.6057
-0.828113463,0.6057
-0.827003006,0.6057
-0.825887489,0.6057
-0.824771972,0.6057
-0.823656456,0.6057
-0.820605740939,0.6057
-0.821425423,0.6057
-0.820309906,0.6057
-0.81919439,0.6057
-0.818078873,0.6057
-0.816963356,0.6057
-0.81584784,0.6057
-0.814732323,0.6057
-0.813616807,0.6057
-0.81060570129,0.6057
-0.811385773,0.6057
-0.810270257,0.6057
-0.80915474,0.6057
-0.808039224,0.6057
-0.806923707,0.6057
-0.805808191,0.6057
-0.804692674,0.6057
-0.803577157,0.6057
-0.802461641,0.6057
-0.801346124,0.6057
-0.800230608,0.6057
-0.799115091,0.6057
-0.797999574,0.6057
-0.796884058,0.6057
-0.795768541,0.6057
-0.794653025,0.6057
-0.793537508,0.6057
-0.792421992,0.6057
-0.791306475,0.6057
-0.790190958,0.6057
-0.789075442,0.6057
-0.787959925,0.6057
-0.786844409,0.6057
-0.785728892,0.6057
-0.784613375,0.6057
-0.783497859,0.6057
-0.782382342,0.6057
-0.781266826,0.6057
-0.780151309,0.6057
-0.779035793,0.6057
-0.777920276,0.6057
-0.776804759,0.6057
-0.775689243,0.6057
-0.774573726,0.6057
-0.77345821,0.6057
-0.772342693,0.6057
-0.771227177,0.6057
-0.77011166,0.6057
-0.768996143,0.6057
-0.767880627,0.6057
-0.76676511,0.6057
-0.765649594,0.6057
-0.764534077,0.6057
-0.76341856,0.6057
-0.762303044,0.6057
-0.761187527,0.6057
-0.760072011,0.6057
-0.758956494,0.6057
-0.757840978,0.6057
-0.756725461,0.6057
-0.755609944,0.6057
-0.754494428,0.6057
-0.753378911,0.6057
-0.752263395,0.6057
-0.751147878,0.6057
-0.750032361,0.6057
-0.748916845,0.6057
-0.747801328,0.6057
-0.746685812,0.6057
-0.745570295,0.6057
-0.744454779,0.6057
-0.743339262,0.6057
-0.742223745,0.6057
-0.741108229,0.6057
-0.739992712,0.6057
-0.738877196,0.6057
-0.737761679,0.6057
-0.736646162,0.6057
-0.735530646,0.6057
-0.734415129,0.6057
-0.733299613,0.6057
-0.732184096,0.6057
-0.73106858,0.6057
-0.729953063,0.6057
-0.728837546,0.6057
-0.72772203,0.6057
-0.726606513,0.6057
-0.725490997,0.6057
-0.72437548,0.6057
-0.723259963,0.6057
-0.722144447,0.6057
-0.72102893,0.6057
-0.719913414,0.6057
-0.718797897,0.6057
-0.717682381,0.6057
-0.716566864,0.6057
-0.715451347,0.6057
-0.714335831,0.6057
-0.713220314,0.6057
-0.712104798,0.6057
-0.710989281,0.6057
-0.709873765,0.6057
-0.708758248,0.6057
-0.707642731,0.6057
-0.706527215,0.6057
-0.705411698,0.6057
-0.704296182,0.6057
-0.703180665,0.6057
-0.702065148,0.6057
-0.700949632,0.6057
-0.699834115,0.6057
