0.233405971,4.65E-203,1.18E-202,4.17E-202,1.47E-201,5.16E-201,1.82E-200,6.4E-200,2.25E-199,7.93E-199,1.26E-197,5.88E-196,2.57E-194,9.65E-193,9.98E-193,1.57E-183,4.75E-147,0.000254,0.999746
0.231951815,9.44E-203,2.41E-202,8.46E-202,2.98E-201,1.05E-200,3.7E-200,1.3E-199,4.58E-199,1.61E-198,2.57E-197,1.19E-195,5.22E-194,1.96E-192,2.03E-192,3.18E-183,9.65E-147,0.000516,0.999484
0.23049766,1.82E-202,4.62E-202,1.63E-201,5.72E-201,2.02E-200,7.1E-200,2.5E-199,8.81E-199,3.1E-198,4.94E-197,2.3E-195,1E-193,3.77E-192,3.9E-192,6.12E-183,1.85E-146,0.000991,0.999009
0.229043504,3.08E-202,7.84E-202,2.76E-201,9.7E-201,3.42E-200,1.2E-199,4.24E-199,1.49E-198,5.25E-198,8.37E-197,3.89E-195,1.7E-193,6.39E-192,6.61E-192,1.04E-182,3.14E-146,0.001681,0.998319
0.227589349,4.73E-202,1.2E-201,4.24E-201,1.49E-200,5.25E-200,1.85E-199,6.51E-199,2.29E-198,8.07E-198,1.29E-196,5.98E-195,2.61E-193,9.82E-192,1.02E-191,1.59E-182,4.83E-146,0.002584,0.997416
0.226135193,5.94E-202,1.51E-201,5.32E-201,1.87E-200,6.59E-200,2.32E-199,8.17E-199,2.88E-198,1.01E-197,1.61E-196,7.51E-195,3.28E-193,1.23E-191,1.27E-191,2E-182,6.06E-146,0.003258,0.996742
0.224681038,1.19E-201,3.03E-201,1.07E-200,3.75E-200,1.32E-199,4.65E-199,1.64E-198,5.77E-198,2.03E-197,3.23E-196,1.5E-194,6.57E-193,2.47E-191,2.55E-191,4.01E-182,1.21E-145,0.006477,0.993523
0.223226882,2.26E-201,5.75E-201,2.02E-200,7.12E-200,2.51E-199,8.84E-199,3.11E-198,1.1E-197,3.86E-197,6.15E-196,2.86E-194,1.25E-192,4.69E-191,4.85E-191,7.61E-182,2.31E-145,0.012242,0.987758
0.221772726,3.8E-201,9.69E-201,3.41E-200,1.2E-199,4.22E-199,1.49E-198,5.24E-198,1.85E-197,6.49E-197,1.03E-195,4.81E-194,2.1E-192,7.9E-191,8.17E-191,1.28E-181,3.89E-145,0.020552,0.979448
0.220318571,5.82E-201,1.48E-200,5.22E-200,1.84E-199,6.47E-199,2.28E-198,8.01999999999999E-198,2.82E-197,9.94E-197,1.58E-195,7.36E-194,3.22E-192,1.21E-190,1.25E-190,1.96E-181,5.95E-145,0.031408,0.968592
0.218864415,7.59E-201,1.93E-200,6.81E-200,2.4E-199,8.43E-199,2.97E-198,1.05E-197,3.68E-197,1.3E-196,2.07E-195,9.6E-194,4.19E-192,1.58E-190,1.63E-190,2.56E-181,7.76E-145,0.046452,0.953548
0.21741026,1.46E-200,3.72E-200,1.31E-199,4.6E-199,1.62E-198,5.71E-198,2.01E-197,7.08E-197,2.49E-196,3.97E-195,1.85E-193,8.06E-192,3.03E-190,3.13E-190,4.92E-181,1.49E-144,0.078579,0.921421
